GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ArchiveWarehouseUseCase,0,39,0,4,0,11,0,4,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ReplaceWarehouseUseCase,97,0,10,0,22,0,7,0,2,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,CreateWarehouseUseCase,78,0,8,0,18,0,6,0,2,0
java-code-assignment,com.warehouse.api.beans,Warehouse,7,31,0,0,3,13,2,9,2,9
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters,DbWarehouseReplenishmentEngine,0,123,5,19,0,34,5,9,0,2
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource.ErrorMapper,48,0,4,0,11,0,4,0,2,0
java-code-assignment,com.fulfilment.application.monolith.products,ProductRepository,3,0,0,0,1,0,1,0,1,0
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource,119,0,10,0,27,0,12,0,7,0
java-code-assignment,com.fulfilment.application.monolith.products,Product,0,9,0,0,0,4,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseReturnEngine,0,45,0,8,0,14,0,6,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseTransitRecord,0,43,0,6,0,10,0,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseEnergyConsumption,0,37,0,6,0,8,0,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseInventorySnapshot,0,45,0,6,0,12,0,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseLifecycleRecord,36,131,11,23,11,37,11,8,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseLog,0,46,1,7,0,13,1,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehousePriorityEngine,0,54,0,10,0,16,0,7,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbAlertScoringEngine,0,54,0,10,0,16,0,7,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseInspectionReport,0,36,1,5,0,10,1,4,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseTemperatureLog,0,39,0,6,0,9,0,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseQualityCheck,0,36,1,5,0,10,1,4,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseCapacitySnapshot,8,82,3,11,1,20,3,6,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseSlotAllocation,0,49,1,7,0,14,1,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseCapacityForecast,0,46,1,7,0,12,1,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseRiskEngine,7,114,4,20,2,32,4,10,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseAuditTrail,0,59,2,14,0,15,2,8,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseEventLedger,48,128,9,16,18,38,9,7,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbInventoryBalanceEngine,0,42,0,6,0,11,0,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehousePriorityQueue,0,37,0,6,0,8,0,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseLoadBalancer,0,37,0,6,0,8,0,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseMaintenanceLog,0,46,0,6,0,14,0,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseShipmentTracker,0,53,1,9,0,15,1,6,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseDamageReport,0,37,0,6,0,8,0,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehousePackingStatus,0,39,0,6,0,9,0,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseAudit,0,49,0,8,0,14,0,6,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseStockLedger,0,45,0,6,0,12,0,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseTemperatureMonitor,0,47,0,8,0,14,0,6,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbInventoryLedgerEntry,0,24,0,2,0,8,0,3,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbInventoryAdjustmentLog,0,34,0,4,0,9,0,4,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseEvent,0,49,0,8,0,14,0,6,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseDockAssignment,0,35,0,4,0,9,0,4,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseRiskProfile,0,30,1,3,0,8,1,3,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbMovementTrackingEngine,0,53,1,9,0,15,1,6,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseCapacityAlert,0,46,1,7,0,13,1,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbFulfillmentRiskMatrix,0,62,1,15,0,15,1,9,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseColdStorageLog,0,36,0,6,0,8,0,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehousePerformanceSnapshot,0,28,1,3,0,8,1,3,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseIncidentManager,0,50,1,9,0,14,1,6,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbOutboundDispatchLog,0,35,0,4,0,11,0,4,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseSnapshot,0,41,0,6,0,12,0,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseFailureRegistry,51,0,10,0,15,0,7,0,2,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseDispatchEngine,0,58,2,10,0,16,2,6,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseZoneMap,0,40,0,6,0,9,0,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseProcessingQueue,0,53,0,10,0,15,0,7,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbStockHealthAnalyzer,0,45,0,8,0,14,0,6,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseSecurityAlert,0,46,0,8,0,12,0,6,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseMaintenanceWindow,0,46,1,7,0,13,1,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbCapacityForecastEngine,0,53,1,9,0,15,1,6,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseCapacityRule,0,35,1,5,0,8,1,4,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseIncidentReport,0,40,0,6,0,9,0,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,WarehouseRepository,219,0,14,0,60,0,13,0,6,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseCapacityAudit,0,46,1,7,0,10,1,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseUtilizationLog,0,46,1,7,0,10,1,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseSpaceOptimizer,0,52,1,7,0,13,1,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseAuditTrailExtended,0,43,0,6,0,10,0,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseFreezeEvent,0,34,0,4,0,10,0,4,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseHealthMonitor,0,62,3,11,0,16,3,6,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbDemandPredictionEngine,0,57,0,10,0,15,0,7,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbInboundShipmentRecord,0,38,1,5,0,11,1,4,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseOrderQueue,0,46,0,8,0,14,0,6,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbReturnShipmentRecord,0,41,1,5,0,10,1,4,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseUtilizationEngine,0,62,2,10,0,16,2,6,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseCapacityEngine,0,62,2,10,0,15,2,6,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseComplianceRecord,0,86,0,14,0,26,0,9,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbDispatchQueueEntry,0,38,1,5,0,9,1,4,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouseAlertEngine,0,43,0,6,0,13,0,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouse,0,33,0,0,0,9,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.location,LocationGateway,0,95,0,0,0,15,0,4,0,4
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource,157,0,18,0,37,0,17,0,8,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreCreatedEvent,0,9,0,0,0,4,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.stores,LegacyStoreManagerGateway,3,56,0,0,2,16,0,4,0,4
java-code-assignment,com.fulfilment.application.monolith.stores,StoreEventObserver,32,0,0,0,8,0,4,0,4,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.ErrorMapper,0,48,1,3,0,11,1,3,0,2
java-code-assignment,com.fulfilment.application.monolith.stores,StoreUpdatedEvent,0,9,0,0,0,4,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.stores,Store,6,3,0,0,3,1,1,1,1,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.restapi,WarehouseResourceImpl,9,312,3,35,2,70,4,31,1,14
java-code-assignment,com.fulfilment.application.monolith.warehouses.extra,WarehouseAdvancedValidator,3,65,3,15,1,13,4,7,1,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.extra,WarehouseAnalyticsService,185,0,20,0,41,0,28,0,18,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.extra,WarehouseStringUtils,5,21,3,7,1,4,4,4,1,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.extra,WarehouseCalculator,4,42,4,8,1,7,5,6,1,4
java-code-assignment,com.fulfilment.application.monolith.warehouses.extra,WarehouseRangeFilter,4,38,3,7,1,5,4,5,1,3
java-code-assignment,com.fulfilment.application.monolith.warehouses.extra,WarehouseDuplicateChecker,4,33,2,8,1,8,3,4,1,1
